trans_sk,clt_sk,card_sk,device_sk,event_timestamp,junk_sk,trans_ref_no,trans_destination,dev_ip_location,country_src,country_dest,trans_reason,currency,dest_account_no,trans_amount,time_since_last_trans,distance_from_last_loc,risk_score,new_current_amount,trans_type,trans_status
2838,1640,1178,292,2015-06-13T18:42:28.000Z,8,C705414356156448,Jordan Ahli Bank,"Suez Governorate, Badr City, El-Gomhoreya St.",Canada,Egypt,Shopping,EGP,591791971,12476,99.61,332.62,74.34,18714.0,Withdrawal,Successful
12837,723,949,477,2024-04-27T15:35:39.000Z,4,C447644561348744,Arab African International Bank (AAIB),"Alexandria Governorate, Ain Shams, Corniche El-Nil St.",Saudi Arabia,Egypt,Transfer,EGP,157588818,12467,46.16,78.18,80.32,18700.5,Deposit,Successful
22837,1025,1930,103,2025-08-13T12:08:26.000Z,4,C851707438677986,Ghada Qassem Younis Othman,"Fayyum Governorate, Sheikh Zayed, Cleopatra St.",UK,Egypt,Transfer,EGP,350558801,8669,56.08,156.29,95.83,13003.5,Withdrawal,Rejected
17837,1296,1947,381,2024-01-07T22:34:07.000Z,8,C533033603857521,Dubai Islamic Bank,"Marsa Matrouh Governorate, Boulak, El-Nasr St.",Canada,Egypt,Salary,EGP,400087852,14444,90.15,317.27,97.03,21666.0,Withdrawal,Successful
32839,1351,1069,345,2025-11-17T20:52:37.000Z,5,C767803812548638,Saudi National Bank (SNB),"Cairo Governorate, Omraneya, El-Safwa St.",Italy,Egypt,Salary,USD,505434934,13632,105.94,149.65,79.45,20448.0,Withdrawal,Successful
47839,590,1899,414,2024-11-02T01:23:04.000Z,3,C811365337119549,Lebanese French Bank (LFB),"Damanhur Governorate, El-Obour City, Sudan St.",Germany,Egypt,Salary,EUR,795686815,3645,75.09,335.33,35.61,5467.5,Deposit,Successful
7838,510,1716,279,2019-06-11T13:08:55.000Z,4,C275751290440973,Lebanese French Bank (LFB),"Tanta Governorate, Badr City, Emad El-Din St.",UK,USA,Shopping,EGP,510120162,6338,4.67,367.65,76.23,9507.0,Transfer,Rejected
27839,1805,851,28,2016-12-27T22:51:32.000Z,7,C918390966591848,Byblos Bank,"Suez Governorate, Rehab City, El-Azhar St.",Canada,Italy,Bill Payment,USD,395111674,6250,21.12,330.38,97.52,9375.0,Transfer,Successful
37837,737,797,406,2015-07-10T02:37:20.000Z,8,C539513015175428,First Abu Dhabi Bank (FAB),"Mansoura Governorate, Mohandiseen, El-Orouba St.",Spain,Canada,Bill Payment,EUR,116940583,8751,45.23,381.74,81.5,13126.5,Transfer,Rejected
42841,206,1,315,2015-08-14T12:24:53.000Z,11,C931042090018216,Deutsche Bank,"Ismailia Governorate, Zamalek, El-Galaa St.",Australia,Canada,Transfer,EGP,147300522,6682,97.25,227.61,81.61,10023.0,Transfer,Rejected
12838,1526,693,190,2019-01-04T11:33:11.000Z,10,C265728804153029,Arab National Bank,"Cairo Governorate, Garden City, El-Nasr St.",Saudi Arabia,Egypt,Shopping,USD,595063029,8513,83.22,375.0,72.95,12769.5,Withdrawal,Rejected
17838,876,1403,322,2017-02-28T10:22:18.000Z,1,C245358309712604,Jordan Ahli Bank,"New Valley Governorate, El-Haram, El-Galaa St.",Jordan,Egypt,Transfer,USD,703736142,6151,74.48,68.58,83.37,9226.5,Withdrawal,Successful
22838,301,1840,131,2025-10-19T17:53:06.000Z,11,C972934538041836,Arab Investment Bank,"Hurghada Governorate, Imbaba, El-Orouba St.",Australia,Egypt,Bill Payment,EUR,845527135,14793,86.27,443.53,85.87,22189.5,Withdrawal,Successful
2839,169,241,441,2015-07-29T05:59:20.000Z,3,C928768145728132,Al Rajhi Bank,"Hurghada Governorate, Badr City, Talaat Harb St.",Jordan,Italy,Transfer,USD,539023888,14835,95.8,129.21,88.9,22252.5,Transfer,Successful
7839,84,1712,19,2018-02-18T00:41:57.000Z,3,C347076894374773,Kuwait Finance House,"Ismailia Governorate, Badr City, El-Sheikh Rihan St.",Germany,Egypt,Transfer,EGP,708623006,6622,82.33,220.03,97.53,9933.0,Deposit,Rejected
32840,345,28,475,2020-02-12T12:12:54.000Z,5,C145605551673957,Emirates NBD,"Tanta Governorate, Zamalek, El-Sheikh Rihan St.",Italy,Egypt,Shopping,USD,734298854,4947,30.52,126.29,5.67,7420.5,Deposit,Successful
